,Date,daily number of doses received by Larimer County residents,total number of doses recevied by residents,daily number of residents receiving first dose,total number of residents receiving first dose,daily number of residents vaccinated,total number of residents vaccinated,daily number of 70+ vaccinated,total number of 70+ vaccinated,daily number of 70+ at least one dose,total number of 70+ at least one dose,daily number of Latinx residents vaccinated,total of Latinx residents vaccinated,daily number of White non-Latinx residents vaccinated,total of White non-Latinx residents vaccinated,daily number of non-White non-Latinx residents vaccinated,total of non-White non-Latinx residents vaccinated,dailyUnknown,totalUnknown,mysteryColumn,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
160,5/23/2021,649,346400,333,191099,349,169026,1.0,32053,5.0,33446,61.0,7498,210.0,145049,19.0,8183,59.0,8296,9026.0,7464.0,144496.0,8137.0,8281.0
161,5/24/2021,1267,347667,509,191608,847,169873,37.0,32090,16.0,33462,36.0,7534,678.0,145727,72.0,8255,61.0,8357,9066.0,7499.0,145172.0,8208.0,8341.0
162,5/25/2021,1178,348845,491,192099,737,170610,24.0,32114,17.0,33479,55.0,7589,564.0,146291,57.0,8312,61.0,8418,9098.0,7554.0,145733.0,8264.0,8401.0
163,5/26/2021,891,349736,522,192621,507,171117,17.0,32131,23.0,33502,28.0,7617,399.0,146690,40.0,8352,40.0,8458,9146.0,7582.0,146123.0,8304.0,8440.0
164,5/27/2021,1196,350932,639,193260,648,171765,29.0,32160,20.0,33522,49.0,7666,513.0,147203,42.0,8394,44.0,8502,9194.0,7630.0,146634.0,8345.0,8484.0
165,5/28/2021,996,351928,585,193845,479,172244,19.0,32179,21.0,33543,28.0,7694,363.0,147566,44.0,8438,44.0,8546,9237.0,7658.0,146996.0,8389.0,8528.0
166,5/29/2021,988,352916,495,194340,541,172785,16.0,32195,9.0,33552,31.0,7725,419.0,147985,36.0,8474,55.0,8601,9286.0,7689.0,147412.0,8425.0,8583.0
167,5/30/2021,298,353214,202,194542,138,172923,5.0,32200,3.0,33555,10.0,7735,101.0,148086,15.0,8489,12.0,8613,9303.0,7699.0,147512.0,8440.0,8595.0
168,5/31/2021,316,353530,185,194727,170,173093,8.0,32208,6.0,33561,7.0,7742,137.0,148223,12.0,8501,14.0,8627,9320.0,7706.0,147649.0,8452.0,8609.0
169,6/1/2021,908,354438,406,195133,562,173655,28.0,32236,18.0,33579,41.0,7783,434.0,148657,32.0,8533,55.0,8682,9352.0,7746.0,148078.0,8485.0,8664.0
170,6/2/2021,664,355102,354,195487,377,174032,13.0,32249,9.0,33588,30.0,7813,296.0,148953,16.0,8549,35.0,8717,9395.0,7776.0,148371.0,8500.0,8700.0
171,6/3/2021,1246,356348,517,196004,800,174832,24.0,32273,12.0,33600,44.0,7857,655.0,149608,44.0,8593,57.0,8774,9471.0,7819.0,149011.0,8544.0,8756.0
172,6/4/2021,1453,357801,419,196423,1089,175921,15.0,32288,8.0,33608,61.0,7918,906.0,150514,60.0,8653,62.0,8836,9520.0,7880.0,149911.0,8603.0,8818.0
173,6/5/2021,1356,359157,359,196782,1036,176957,11.0,32299,6.0,33614,58.0,7976,829.0,151343,84.0,8737,65.0,8901,9569.0,7937.0,150716.0,8684.0,8882.0
174,6/6/2021,498,359655,148,196930,368,177325,5.0,32304,3.0,33617,34.0,8010,299.0,151642,22.0,8759,13.0,8914,9587.0,7971.0,151008.0,8706.0,8895.0
175,6/7/2021,1127,360782,324,197254,861,178186,14.0,32318,11.0,33628,62.0,8072,688.0,152330,75.0,8834,36.0,8950,9623.0,8033.0,151688.0,8781.0,8931.0
176,6/8/2021,1042,361824,261,197515,820,179006,15.0,32333,5.0,33633,49.0,8121,658.0,152988,59.0,8893,54.0,9004,9637.0,8082.0,152335.0,8840.0,8985.0
177,6/9/2021,1029,362853,278,197793,812,179818,14.0,32347,12.0,33645,65.0,8186,625.0,153613,60.0,8953,62.0,9066,9654.0,8139.0,152872.0,8891.0,9036.0
178,6/10/2021,1239,364092,338,198131,957,180775,18.0,32365,6.0,33651,84.0,8270,748.0,154361,61.0,9014,64.0,9130,9680.0,8216.0,153542.0,8947.0,9085.0
179,6/11/2021,1072,365164,324,198455,805,181580,18.0,32383,13.0,33664,58.0,8328,620.0,154981,68.0,9082,59.0,9189,9703.0,8263.0,153943.0,8992.0,9128.0
180,6/12/2021,994,366158,301,198756,745,182325,16.0,32399,10.0,33674,68.0,8396,572.0,155553,50.0,9132,55.0,9244,9724.0,8327.0,154437.0,9039.0,9181.0
181,6/13/2021,357,366515,96,198852,276,182601,4.0,32403,1.0,33675,30.0,8426,192.0,155745,23.0,9155,31.0,9275,9728.0,8346.0,154480.0,9046.0,9200.0
182,6/14/2021,781,367296,270,199122,561,183162,13.0,32416,4.0,33679,38.0,8464,430.0,156175,40.0,9195,53.0,9328,,,,,
183,6/15/2021,644,367940,237,199359,435,183597,19.0,32435,9.0,33688,33.0,8497,356.0,156531,22.0,9217,24.0,9352,,,,,
184,6/16/2021,593,368533,204,199563,425,184022,12.0,32447,5.0,33693,31.0,8528,318.0,156849,27.0,9244,49.0,9401,,,,,
185,6/17/2021,640,369173,233,199796,441,184463,13.0,32460,10.0,33703,40.0,8568,326.0,157175,46.0,9290,29.0,9430,,,,,
186,6/18/2021,972,370145,362,200158,655,185118,22.0,32482,11.0,33714,47.0,8615,529.0,157704,49.0,9339,30.0,9460,,,,,
187,6/19/2021,614,370759,153,200311,484,185602,10.0,32492,7.0,33721,45.0,8660,358.0,158062,45.0,9384,36.0,9496,,,,,
188,6/20/2021,251,371010,99,200410,164,185766,3.0,32495,2.0,33723,21.0,8681,102.0,158164,14.0,9398,27.0,9523,,,,,
189,6/21/2021,473,371483,206,200616,305,186071,4.0,32499,9.0,33732,27.0,8708,229.0,158393,28.0,9426,21.0,9544,,,,,
190,6/22/2021,565,372048,228,200844,370,186441,12.0,32511,7.0,33739,27.0,8735,285.0,158678,21.0,9447,37.0,9581,,,,,
191,6/23/2021,480,372528,184,201028,333,186774,8.0,32519,9.0,33748,35.0,8770,236.0,158914,33.0,9480,29.0,9610,,,,,
192,6/24/2021,161,372689,75,201103,97,186871,2.0,32521,1.0,33749,9.0,8779,66.0,158980,4.0,9484,18.0,9628,,,,,
