,Date,daily number of doses received by Larimer County residents,total number of doses recevied by residents,daily number of residents receiving first dose,total number of residents receiving first dose,daily number of residents vaccinated,total number of residents vaccinated,daily number of 70+ vaccinated,total number of 70+ vaccinated,daily number of 70+ at least one dose,total number of 70+ at least one dose,daily number of Latinx residents vaccinated,total of Latinx residents vaccinated,daily number of White non-Latinx residents vaccinated,total of White non-Latinx residents vaccinated,daily number of non-White non-Latinx residents vaccinated,total of non-White non-Latinx residents vaccinated,dailyUnknown,totalUnknown,daily_additional_doses,total_additional_doses,daily_second_booster ,total_second_boosters
0,12/14/2020,31,31,31,31,0,0,0.0,0,1.0,1,0.0,0,0,0,0.0,0,,0,0,0,0,0
1,12/15/2020,15,46,15,46,0,0,,0,,1,,0,0,0,0.0,0,,0,0,0,0,0
2,12/16/2020,308,354,308,354,0,0,0.0,0,1.0,2,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
3,12/17/2020,993,1347,993,1347,0,0,0.0,0,11.0,13,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
4,12/18/2020,1057,2404,1057,2404,0,0,0.0,0,15.0,28,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
5,12/19/2020,721,3125,721,3125,0,0,0.0,0,13.0,41,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
6,12/20/2020,267,3392,267,3392,0,0,0.0,0,4.0,45,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
7,12/21/2020,356,3748,356,3748,0,0,0.0,0,3.0,48,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
8,12/22/2020,360,4108,360,4108,0,0,0.0,0,7.0,55,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
9,12/23/2020,450,4558,450,4558,0,0,0.0,0,7.0,62,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
10,12/24/2020,107,4665,107,4665,0,0,0.0,0,3.0,65,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
11,12/25/2020,1,4666,1,4666,0,0,,0,,65,,0,0,0,,0,,0,0,0,0,0
12,12/26/2020,230,4896,230,4896,0,0,0.0,0,3.0,68,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
13,12/27/2020,275,5171,275,5171,0,0,0.0,0,195.0,263,0.0,0,0,0,0.0,0,,0,0,0,0,0
14,12/28/2020,721,5892,721,5892,0,0,0.0,0,388.0,651,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
15,12/29/2020,904,6796,903,6795,1,1,0.0,0,454.0,1105,0.0,0,1,1,0.0,0,0.0,0,0,0,0,0
16,12/30/2020,883,7679,882,7677,1,2,0.0,0,259.0,1364,0.0,0,1,2,0.0,0,0.0,0,0,0,0,0
17,12/31/2020,906,8585,905,8582,2,4,1.0,1,340.0,1704,0.0,0,2,4,0.0,0,0.0,0,0,0,0,0
18,1/1/2021,8,8593,7,8589,2,6,,1,,1704,,0,2,6,,0,0.0,0,0,0,0,0
19,1/2/2021,384,8977,384,8973,0,6,0.0,1,136.0,1840,0.0,0,0,6,0.0,0,0.0,0,0,0,0,0
20,1/3/2021,129,9106,128,9101,2,8,0.0,1,58.0,1898,0.0,0,2,8,0.0,0,0.0,0,0,0,0,0
21,1/4/2021,601,9707,586,9687,15,23,0.0,1,318.0,2216,0.0,0,12,20,2.0,2,1.0,1,0,0,0,0
22,1/5/2021,648,10355,636,10323,12,35,0.0,1,406.0,2622,0.0,0,12,32,0.0,2,0.0,1,0,0,0,0
23,1/6/2021,1254,11609,936,11259,317,352,3.0,4,532.0,3154,18.0,18,278,310,17.0,19,4.0,5,1,1,0,0
24,1/7/2021,1672,13281,710,11969,961,1313,12.0,16,409.0,3563,34.0,52,868,1178,45.0,64,14.0,19,1,2,0,0
25,1/8/2021,1999,15280,991,12960,1007,2320,12.0,28,488.0,4051,48.0,100,895,2073,42.0,106,22.0,41,1,3,0,0
26,1/9/2021,1233,16513,538,13498,695,3015,16.0,44,309.0,4360,17.0,117,629,2702,35.0,141,14.0,55,0,3,0,0
27,1/10/2021,713,17226,437,13935,276,3291,4.0,48,270.0,4630,10.0,127,250,2952,13.0,154,3.0,58,0,3,0,0
28,1/11/2021,1144,18370,796,14731,348,3639,1.0,49,532.0,5162,10.0,137,316,3268,18.0,172,4.0,62,0,3,0,0
29,1/12/2021,1182,19552,883,15614,299,3938,8.0,57,515.0,5677,15.0,152,257,3525,19.0,191,8.0,70,0,3,0,0
30,1/13/2021,1080,20632,834,16448,246,4184,1.0,58,369.0,6046,23.0,175,199,3724,16.0,207,8.0,78,0,3,0,0
31,1/14/2021,875,21507,839,17287,36,4220,1.0,59,495.0,6541,2.0,177,31,3755,1.0,208,2.0,80,0,3,0,0
32,1/15/2021,1225,22732,1209,18496,16,4236,0.0,59,758.0,7299,0.0,177,16,3771,0.0,208,0.0,80,0,3,0,0
33,1/16/2021,985,23717,971,19467,14,4250,1.0,60,582.0,7881,0.0,177,13,3784,1.0,209,0.0,80,0,3,0,0
34,1/17/2021,64,23781,58,19525,6,4256,0.0,60,22.0,7903,0.0,177,4,3788,2.0,211,0.0,80,0,3,0,0
35,1/18/2021,1024,24805,816,20341,206,4462,49.0,109,598.0,8501,8.0,185,178,3966,13.0,224,7.0,87,2,5,0,0
36,1/19/2021,1258,26063,1113,21454,142,4604,8.0,117,729.0,9230,7.0,192,122,4088,6.0,230,7.0,94,2,7,1,1
37,1/20/2021,1438,27501,1216,22670,220,4824,13.0,130,573.0,9803,14.0,206,179,4267,9.0,239,18.0,112,1,8,1,2
38,1/21/2021,2269,29770,2047,24717,222,5046,11.0,141,1586.0,11389,14.0,220,185,4452,16.0,255,7.0,119,2,10,0,2
39,1/22/2021,1750,31520,1467,26184,283,5329,94.0,235,1094.0,12483,34.0,254,228,4680,14.0,269,7.0,126,0,10,0,2
40,1/23/2021,907,32427,575,26759,332,5661,55.0,290,428.0,12911,8.0,262,305,4985,13.0,282,6.0,132,0,10,0,2
41,1/24/2021,389,32816,104,26863,285,5946,207.0,497,61.0,12972,8.0,270,269,5254,8.0,290,,132,0,10,0,2
42,1/25/2021,1411,34227,789,27652,618,6564,370.0,867,550.0,13522,13.0,283,580,5834,16.0,306,9.0,141,4,14,0,2
43,1/26/2021,1620,35847,699,28351,919,7483,457.0,1324,438.0,13960,30.0,313,839,6673,39.0,345,11.0,152,1,15,1,3
44,1/27/2021,1848,37695,775,29126,1072,8555,533.0,1857,336.0,14296,41.0,354,975,7648,47.0,392,9.0,161,1,16,0,3
45,1/28/2021,1356,39051,550,29676,805,9360,352.0,2209,300.0,14596,25.0,379,739,8387,28.0,420,13.0,174,1,17,0,3
46,1/29/2021,1651,40702,1164,30840,486,9846,168.0,2377,826.0,15422,23.0,402,420,8807,33.0,453,10.0,184,1,18,0,3
47,1/30/2021,1222,41924,734,31574,486,10332,208.0,2585,597.0,16019,24.0,426,437,9244,19.0,472,6.0,190,2,20,0,3
48,1/31/2021,652,42576,424,31998,224,10556,76.0,2661,365.0,16384,5.0,431,198,9442,15.0,487,6.0,196,3,23,1,4
49,2/1/2021,1672,44248,953,32951,714,11270,468.0,3129,665.0,17049,20.0,451,656,10098,28.0,515,10.0,206,7,30,0,4
50,2/2/2021,1874,46122,737,33688,1137,12407,737.0,3866,581.0,17630,44.0,495,1046,11144,36.0,551,11.0,217,0,30,0,4
51,2/3/2021,1281,47403,595,34283,687,13094,322.0,4188,229.0,17859,48.0,543,582,11726,46.0,597,11.0,228,0,30,0,4
52,2/4/2021,2527,49930,1782,36065,744,13838,497.0,4685,1537.0,19396,31.0,574,665,12391,38.0,635,10.0,238,1,31,0,4
53,2/5/2021,2580,52510,1529,37594,1046,14884,687.0,5372,1302.0,20698,38.0,612,956,13347,32.0,667,20.0,258,6,37,0,4
54,2/6/2021,2231,54741,1604,39198,627,15511,455.0,5827,1239.0,21937,11.0,623,587,13934,21.0,688,8.0,266,0,37,0,4
55,2/7/2021,240,54981,92,39290,145,15656,98.0,5925,29.0,21966,7.0,630,130,14064,4.0,692,4.0,270,3,40,0,4
56,2/8/2021,2459,57440,1582,40872,878,16534,594.0,6519,1128.0,23094,26.0,656,808,14872,28.0,720,16.0,286,0,40,0,4
57,2/9/2021,2391,59831,1535,42407,855,17389,523.0,7042,988.0,24082,26.0,682,770,15642,38.0,758,21.0,307,2,42,0,4
58,2/10/2021,1597,61428,972,43379,618,18007,317.0,7359,288.0,24370,25.0,707,549,16191,29.0,787,15.0,322,7,49,0,4
59,2/11/2021,3536,64964,2000,45379,1535,19542,1054.0,8413,808.0,25178,55.0,762,1398,17589,56.0,843,26.0,348,3,52,0,4
60,2/12/2021,3275,68239,1817,47196,1454,20996,961.0,9374,798.0,25976,60.0,822,1334,18923,47.0,890,13.0,361,4,56,0,4
61,2/13/2021,3001,71240,2364,49560,635,21631,310.0,9684,674.0,26650,14.0,836,583,19506,26.0,916,12.0,373,2,58,0,4
62,2/14/2021,432,71672,352,49912,79,21710,56.0,9740,44.0,26694,2.0,838,72,19578,3.0,919,2.0,375,1,59,0,4
63,2/15/2021,2622,74294,2125,52037,497,22207,322.0,10062,257.0,26951,18.0,856,464,20042,12.0,931,3.0,378,0,59,0,4
64,2/16/2021,2752,77046,1911,53948,841,23048,495.0,10557,229.0,27180,36.0,892,766,20808,22.0,953,17.0,395,0,59,0,4
65,2/17/2021,1640,78686,652,54600,984,24032,481.0,11038,154.0,27334,31.0,923,896,21704,38.0,991,19.0,414,4,63,0,4
66,2/18/2021,2640,81326,1677,56277,959,24991,731.0,11769,277.0,27611,37.0,960,884,22588,31.0,1022,7.0,421,4,67,0,4
67,2/19/2021,2437,83763,1037,57314,1396,26387,1030.0,12799,160.0,27771,44.0,1004,1290,23878,47.0,1069,15.0,436,4,71,0,4
68,2/20/2021,1654,85417,679,57993,973,27360,793.0,13592,129.0,27900,23.0,1027,910,24788,30.0,1099,10.0,446,2,73,0,4
69,2/21/2021,117,85534,43,58036,72,27432,40.0,13632,8.0,27908,1.0,1028,68,24856,2.0,1101,1.0,447,2,75,0,4
70,2/22/2021,2030,87564,763,58799,1263,28695,927.0,14559,148.0,28056,38.0,1066,1174,26030,41.0,1142,10.0,457,4,79,0,4
71,2/23/2021,1230,88794,521,59320,708,29403,469.0,15028,163.0,28219,21.0,1087,637,26667,37.0,1179,13.0,470,1,80,0,4
72,2/24/2021,1416,90210,756,60076,658,30061,278.0,15306,139.0,28358,28.0,1115,607,27274,19.0,1198,4.0,474,2,82,0,4
73,2/25/2021,3873,94083,2072,62148,1798,31859,1504.0,16810,353.0,28711,48.0,1163,1695,28969,39.0,1237,16.0,490,2,84,1,5
74,2/26/2021,3276,97359,1161,63309,2112,33971,1738.0,18548,201.0,28912,33.0,1196,1990,30959,59.0,1296,30.0,520,3,87,0,5
75,2/27/2021,3498,100857,1668,64977,1826,35797,1559.0,20107,549.0,29461,35.0,1231,1706,32665,57.0,1353,28.0,548,4,91,0,5
76,2/28/2021,432,101289,359,65336,70,35867,43.0,20150,116.0,29577,2.0,1233,65,32730,1.0,1354,2.0,550,3,94,0,5
77,3/1/2021,2970,104259,1474,66810,1500,37367,1077.0,21227,303.0,29880,55.0,1288,1387,34117,46.0,1400,12.0,562,14,108,0,5
78,3/2/2021,3261,107520,1731,68541,1528,38895,1046.0,22273,385.0,30265,37.0,1325,1418,35535,45.0,1445,28.0,590,2,110,0,5
79,3/3/2021,1673,109193,1096,69637,582,39477,180.0,22453,208.0,30473,33.0,1358,517,36052,26.0,1471,6.0,596,0,110,0,5
80,3/4/2021,3018,112211,1594,71231,1457,40934,823.0,23276,171.0,30644,43.0,1401,1337,37389,58.0,1529,19.0,615,2,112,0,5
81,3/5/2021,3496,115707,2063,73294,1478,42412,821.0,24097,424.0,31068,42.0,1443,1369,38758,43.0,1572,24.0,639,3,115,0,5
82,3/6/2021,4126,119833,2338,75632,2710,45122,865.0,24962,270.0,31338,171.0,1614,2378,41136,127.0,1699,34.0,673,3,118,1,6
83,3/7/2021,432,120265,314,75946,154,45276,37.0,24999,23.0,31361,4.0,1618,145,41281,2.0,1701,3.0,676,0,118,0,6
84,3/8/2021,2826,123091,1062,77008,1920,47196,275.0,25274,76.0,31437,54.0,1672,1777,43058,66.0,1767,23.0,699,3,121,0,6
85,3/9/2021,3197,126288,1660,78668,1640,48836,264.0,25538,96.0,31533,54.0,1726,1493,44551,69.0,1836,24.0,723,11,132,0,6
86,3/10/2021,2408,128696,1389,80057,1100,49936,308.0,25846,87.0,31620,55.0,1781,991,45542,36.0,1872,18.0,741,3,135,0,6
87,3/11/2021,4187,132883,2387,82444,1905,51841,401.0,26247,134.0,31754,63.0,1844,1752,47294,71.0,1943,19.0,760,6,141,0,6
88,3/12/2021,3963,136846,2583,85027,1482,53323,206.0,26453,67.0,31821,93.0,1937,1299,48593,59.0,2002,31.0,791,7,148,0,6
89,3/13/2021,221,137067,137,85164,135,53458,21.0,26474,6.0,31827,1.0,1938,127,48720,5.0,2007,2.0,793,1,149,0,6
90,3/14/2021,103,137170,61,85225,42,53500,9.0,26483,0.0,31827,1.0,1939,39,48759,1.0,2008,1.0,794,1,150,0,6
91,3/15/2021,921,138091,377,85602,568,54068,90.0,26573,15.0,31842,20.0,1959,522,49281,17.0,2025,9.0,803,3,153,0,6
92,3/16/2021,3305,141396,2126,87728,1224,55292,233.0,26806,46.0,31888,67.0,2026,1095,50376,45.0,2070,17.0,820,1,154,0,6
93,3/17/2021,2920,144316,1787,89515,1183,56475,237.0,27043,88.0,31976,41.0,2067,1084,51460,41.0,2111,17.0,837,8,162,0,6
94,3/18/2021,4025,148341,2085,91600,1962,58437,342.0,27385,91.0,32067,99.0,2166,1778,53238,65.0,2176,20.0,857,15,177,0,6
95,3/19/2021,3018,151359,1750,93350,1284,59721,223.0,27608,43.0,32110,64.0,2230,1155,54393,46.0,2222,19.0,876,11,188,1,7
96,3/20/2021,3084,154443,1964,95314,1163,60884,318.0,27926,52.0,32162,36.0,2266,1042,55435,62.0,2284,23.0,899,7,195,0,7
97,3/21/2021,685,155128,411,95725,291,61175,27.0,27953,5.0,32167,13.0,2279,259,55694,18.0,2302,1.0,900,6,201,0,7
98,3/22/2021,3125,158253,2248,97973,899,62074,194.0,28147,57.0,32224,19.0,2298,829,56523,38.0,2340,13.0,913,10,211,0,7
99,3/23/2021,4467,162720,3571,101544,1751,63825,203.0,28350,74.0,32298,67.0,2365,1525,58048,107.0,2447,52.0,965,2,213,0,7
100,3/24/2021,3172,165892,2434,103978,796,64621,122.0,28472,37.0,32335,46.0,2411,704,58752,28.0,2475,18.0,983,6,219,0,7
101,3/25/2021,5069,170961,3045,107023,2040,66661,313.0,28785,69.0,32404,68.0,2479,1865,60617,74.0,2549,33.0,1016,11,230,3,10
102,3/26/2021,4597,175558,2722,109745,1910,68571,329.0,29114,66.0,32470,121.0,2600,1644,62261,114.0,2663,31.0,1047,11,241,0,10
103,3/27/2021,3351,178909,1906,111651,1449,70020,331.0,29445,20.0,32490,49.0,2649,1332,63593,48.0,2711,20.0,1067,4,245,0,10
104,3/28/2021,1189,180098,826,112477,365,70385,93.0,29538,17.0,32507,12.0,2661,335,63928,15.0,2726,3.0,1070,1,246,0,10
105,3/29/2021,4012,184110,2700,115177,1330,71715,234.0,29772,55.0,32562,41.0,2702,1245,65173,32.0,2758,12.0,1082,4,250,0,10
106,3/30/2021,4384,188494,2752,117929,1712,73427,249.0,30021,75.0,32637,57.0,2759,1557,66730,77.0,2835,21.0,1103,7,257,0,10
107,3/31/2021,3622,192116,2586,120515,1103,74530,173.0,30194,48.0,32685,47.0,2806,982,67712,51.0,2886,23.0,1126,8,265,0,10
108,4/1/2021,5203,197319,3378,123893,1870,76400,153.0,30347,79.0,32764,76.0,2882,1700,69412,70.0,2956,24.0,1150,23,288,1,11
109,4/2/2021,4736,202055,2535,126428,2245,78645,243.0,30590,51.0,32815,83.0,2965,2036,71448,96.0,3052,30.0,1180,6,294,1,12
110,4/3/2021,4275,206330,3523,129951,869,79514,99.0,30689,42.0,32857,38.0,3003,776,72224,36.0,3088,19.0,1199,6,300,0,12
111,4/4/2021,388,206718,269,130220,173,79687,6.0,30695,7.0,32864,3.0,3006,155,72379,13.0,3101,2.0,1201,2,302,0,12
112,4/5/2021,4733,211451,3792,134012,1082,80769,79.0,30774,46.0,32910,70.0,3076,934,73313,55.0,3156,23.0,1224,3,305,0,12
113,4/6/2021,5184,216635,3046,137058,2661,83430,92.0,30866,62.0,32972,91.0,3167,2335,75648,171.0,3327,64.0,1288,9,314,1,13
114,4/7/2021,5009,221644,3696,140754,3528,86958,84.0,30950,109.0,33081,156.0,3323,3030,78678,250.0,3577,92.0,1380,11,325,0,13
115,4/8/2021,6694,228338,4507,145261,4002,90960,165.0,31115,120.0,33201,170.0,3493,3523,82201,220.0,3797,89.0,1469,18,343,0,13
116,4/9/2021,5741,234079,3282,148543,4185,95145,95.0,31210,69.0,33270,197.0,3690,3643,85844,243.0,4040,102.0,1571,14,357,2,15
117,4/10/2021,4449,238528,3176,151719,2371,97516,71.0,31281,71.0,33341,130.0,3820,2009,87853,165.0,4205,67.0,1638,5,362,0,15
118,4/11/2021,1051,239579,798,152517,366,97882,7.0,31288,11.0,33352,16.0,3836,300,88153,38.0,4243,12.0,1650,0,362,0,15
119,4/12/2021,5058,244637,3641,156158,2673,100555,98.0,31386,97.0,33449,102.0,3938,2327,90480,175.0,4418,69.0,1719,12,374,0,15
120,4/13/2021,5050,249687,3566,159724,1517,102072,56.0,31442,77.0,33526,70.0,4008,1321,91801,101.0,4519,25.0,1744,10,384,0,15
121,4/14/2021,2972,252659,1435,161159,1526,103598,85.0,31527,25.0,33551,93.0,4101,1329,93130,74.0,4593,30.0,1774,11,395,0,15
122,4/15/2021,4963,257622,2325,163484,2623,106221,102.0,31629,61.0,33612,219.0,4320,2181,95311,164.0,4757,59.0,1833,16,411,1,16
123,4/16/2021,3934,261556,2083,165567,1834,108055,45.0,31674,34.0,33646,65.0,4385,1599,96910,134.0,4891,36.0,1869,16,427,1,17
124,4/17/2021,4597,266153,2399,167966,2188,110243,38.0,31712,57.0,33703,103.0,4488,1906,98816,133.0,5024,46.0,1915,10,437,1,18
125,4/18/2021,1060,267213,405,168371,648,110891,15.0,31727,10.0,33713,47.0,4535,538,99354,34.0,5058,29.0,1944,6,443,1,19
126,4/19/2021,3869,271082,1403,169774,2452,113343,44.0,31771,39.0,33752,169.0,4704,2059,101413,166.0,5224,58.0,2002,13,456,1,20
127,4/20/2021,4712,275794,1852,171626,2833,116176,46.0,31817,70.0,33822,160.0,4864,2411,103824,198.0,5422,64.0,2066,23,479,4,24
128,4/21/2021,3220,279014,719,172345,2481,118657,36.0,31853,31.0,33853,151.0,5015,2087,105911,166.0,5588,77.0,2143,22,501,0,24
129,4/22/2021,4666,283680,1779,174124,2868,121525,46.0,31899,62.0,33915,144.0,5159,2462,108373,193.0,5781,69.0,2212,19,520,0,24
130,4/23/2021,3601,287281,1175,175299,2415,123940,41.0,31940,31.0,33946,74.0,5233,2130,110503,131.0,5912,80.0,2292,13,533,0,24
131,4/24/2021,3363,290644,1121,176420,2231,126171,14.0,31954,20.0,33966,108.0,5341,1893,112396,191.0,6103,39.0,2331,11,544,0,24
132,4/25/2021,831,291475,366,176786,463,126634,6.0,31960,8.0,33974,107.0,5448,280,112676,39.0,6142,37.0,2368,3,547,0,24
133,4/26/2021,4394,295869,1113,177899,3271,129905,38.0,31998,30.0,34004,152.0,5600,2816,115492,212.0,6354,91.0,2459,12,559,0,24
134,4/27/2021,3380,299249,1203,179102,2182,132087,41.0,32039,38.0,34042,81.0,5681,1921,117413,138.0,6492,42.0,2501,14,573,1,25
135,4/28/2021,3005,302254,715,179817,2301,134388,46.0,32085,22.0,34064,169.0,5850,1863,119276,204.0,6696,65.0,2566,19,592,1,26
136,4/29/2021,3991,306245,823,180640,3176,137564,73.0,32158,32.0,34096,230.0,6080,2605,121881,234.0,6930,107.0,2673,10,602,0,26
137,4/30/2021,2906,309151,647,181287,2267,139831,50.0,32208,24.0,34120,76.0,6156,1926,123807,203.0,7133,62.0,2735,23,625,0,26
138,5/1/2021,3691,312842,818,182105,2848,142679,37.0,32245,19.0,34139,283.0,6439,2222,126029,204.0,7337,139.0,2874,39,664,1,27
139,5/2/2021,546,313388,241,182346,323,143002,7.0,32252,2.0,34141,12.0,6451,259,126288,42.0,7379,10.0,2884,4,668,0,27
140,5/3/2021,3438,316826,641,182987,2808,145810,48.0,32300,33.0,34174,111.0,6562,2408,128696,215.0,7594,74.0,2958,14,682,0,27
141,5/4/2021,4362,321188,688,183675,3719,149529,71.0,32371,26.0,34200,150.0,6712,3190,131886,261.0,7855,118.0,3076,10,692,2,29
142,5/5/2021,2237,323425,475,184150,1815,151344,63.0,32434,24.0,34224,87.0,6799,1504,133390,146.0,8001,78.0,3154,7,699,2,31
143,5/6/2021,3701,327126,828,184978,3050,154394,101.0,32535,40.0,34264,178.0,6977,2535,135925,203.0,8204,134.0,3288,9,708,5,36
144,5/7/2021,2955,330081,540,185518,2553,156947,45.0,32580,11.0,34275,136.0,7113,2103,138028,214.0,8418,100.0,3388,14,722,1,37
145,5/8/2021,3005,333086,561,186079,2610,159557,47.0,32627,16.0,34291,170.0,7283,2116,140144,194.0,8612,130.0,3518,10,732,0,37
146,5/9/2021,379,333465,145,186224,248,159805,4.0,32631,2.0,34293,11.0,7294,207,140351,21.0,8633,9.0,3527,3,735,0,37
147,5/10/2021,2451,335916,381,186605,2130,161935,65.0,32696,16.0,34309,92.0,7386,1734,142085,205.0,8838,99.0,3626,8,743,3,40
148,5/11/2021,2726,338642,534,187139,2246,164181,95.0,32791,23.0,34332,192.0,7578,1755,143840,204.0,9042,95.0,3721,15,758,1,41
149,5/12/2021,1246,339888,462,187601,866,165047,27.0,32818,14.0,34346,53.0,7631,689,144529,86.0,9128,38.0,3759,7,765,0,41
150,5/13/2021,3272,343160,1031,188632,2270,167317,86.0,32904,25.0,34371,148.0,7779,1849,146378,166.0,9294,107.0,3866,11,776,4,45
151,5/14/2021,2478,345638,1281,189913,1328,168645,57.0,32961,30.0,34401,66.0,7845,1109,147487,100.0,9394,53.0,3919,12,788,2,47
152,5/15/2021,3041,348679,1509,191422,1659,170304,44.0,33005,17.0,34418,117.0,7962,1321,148808,148.0,9542,73.0,3992,6,794,3,50
153,5/16/2021,946,349625,544,191966,446,170750,11.0,33016,5.0,34423,87.0,8049,284,149092,33.0,9575,42.0,4034,1,795,2,52
154,5/17/2021,2441,352066,1207,193173,1331,172081,36.0,33052,27.0,34450,51.0,8100,1113,150205,108.0,9683,59.0,4093,5,800,1,53
155,5/18/2021,2586,354652,1156,194329,1472,173553,45.0,33097,22.0,34472,78.0,8178,1243,151448,86.0,9769,65.0,4158,9,809,4,57
156,5/19/2021,1891,356543,1156,195485,815,174368,28.0,33125,20.0,34492,43.0,8221,662,152110,70.0,9839,40.0,4198,4,813,1,58
157,5/20/2021,1992,358535,938,196423,1112,175480,44.0,33169,28.0,34520,95.0,8316,890,153000,79.0,9918,48.0,4246,10,823,2,60
158,5/21/2021,1655,360190,924,197347,834,176314,21.0,33190,15.0,34535,43.0,8359,666,153666,67.0,9985,58.0,4304,15,838,2,62
159,5/22/2021,1699,361889,798,198145,940,177254,9.0,33199,13.0,34548,123.0,8482,657,154323,76.0,10061,84.0,4388,9,847,3,65
160,5/23/2021,686,362575,343,198488,374,177628,2.0,33201,5.0,34553,67.0,8549,231,154554,21.0,10082,55.0,4443,1,848,0,65
161,5/24/2021,1355,363930,543,199031,887,178515,36.0,33237,20.0,34573,41.0,8590,717,155271,85.0,10167,44.0,4487,12,860,2,67
162,5/25/2021,1235,365165,511,199542,767,179282,24.0,33261,19.0,34592,57.0,8647,579,155850,66.0,10233,65.0,4552,8,868,0,67
163,5/26/2021,969,366134,548,200090,560,179842,21.0,33282,25.0,34617,41.0,8688,444,156294,44.0,10277,31.0,4583,3,871,1,68
164,5/27/2021,1317,367451,668,200758,733,180575,33.0,33315,20.0,34637,58.0,8746,589,156883,56.0,10333,30.0,4613,6,877,1,69
165,5/28/2021,1049,368500,605,201363,506,181081,20.0,33335,22.0,34659,34.0,8780,394,157277,52.0,10385,26.0,4639,11,888,0,69
166,5/29/2021,1024,369524,494,201857,576,181657,19.0,33354,8.0,34667,33.0,8813,458,157735,45.0,10430,40.0,4679,6,894,0,69
167,5/30/2021,334,369858,218,202075,152,181809,5.0,33359,3.0,34670,14.0,8827,109,157844,18.0,10448,11.0,4690,3,897,2,71
168,5/31/2021,341,370199,192,202267,177,181986,8.0,33367,6.0,34676,7.0,8834,148,157992,11.0,10459,11.0,4701,10,907,1,72
169,6/1/2021,1022,371221,411,202678,632,182618,29.0,33396,18.0,34694,51.0,8885,488,158480,47.0,10506,46.0,4747,40,947,1,73
170,6/2/2021,721,371942,368,203046,419,183037,16.0,33412,8.0,34702,35.0,8920,334,158814,24.0,10530,26.0,4773,3,950,1,74
171,6/3/2021,1316,373258,522,203568,859,183896,22.0,33434,11.0,34713,51.0,8971,707,159521,61.0,10591,40.0,4813,4,954,0,74
172,6/4/2021,1503,374761,399,203967,1157,185053,15.0,33449,10.0,34723,71.0,9042,970,160491,70.0,10661,46.0,4859,3,957,1,75
173,6/5/2021,1425,376186,363,204330,1092,186145,12.0,33461,6.0,34729,62.0,9104,892,161383,96.0,10757,42.0,4901,10,967,1,76
174,6/6/2021,563,376749,148,204478,435,186580,5.0,33466,3.0,34732,49.0,9153,345,161728,28.0,10785,13.0,4914,1,968,0,76
175,6/7/2021,1201,377950,343,204821,917,187497,16.0,33482,12.0,34744,67.0,9220,735,162463,82.0,10867,33.0,4947,7,975,1,77
176,6/8/2021,1096,379046,252,205073,874,188371,18.0,33500,5.0,34749,59.0,9279,712,163175,70.0,10937,33.0,4980,7,982,0,77
177,6/9/2021,1085,380131,282,205355,858,189229,15.0,33515,11.0,34760,77.0,9356,663,163838,75.0,11012,43.0,5023,4,986,1,78
178,6/10/2021,1336,381467,345,205700,1037,190266,21.0,33536,4.0,34764,95.0,9451,815,164653,72.0,11084,55.0,5078,11,997,1,79
179,6/11/2021,1113,382580,322,206022,846,191112,20.0,33556,14.0,34778,60.0,9511,660,165313,81.0,11165,45.0,5123,2,999,0,79
180,6/12/2021,1051,383631,288,206310,814,191926,16.0,33572,9.0,34787,72.0,9583,632,165945,68.0,11233,42.0,5165,1,1000,0,79
181,6/13/2021,372,384003,99,206409,291,192217,4.0,33576,1.0,34788,35.0,9618,211,166156,25.0,11258,20.0,5185,3,1003,0,79
182,6/14/2021,845,384848,291,206700,610,192827,15.0,33591,4.0,34792,47.0,9665,464,166620,44.0,11302,55.0,5240,3,1006,0,79
183,6/15/2021,708,385556,245,206945,488,193315,21.0,33612,10.0,34802,42.0,9707,394,167014,34.0,11336,18.0,5258,2,1008,1,80
184,6/16/2021,643,386199,209,207154,469,193784,13.0,33625,5.0,34807,40.0,9747,351,167365,39.0,11375,39.0,5297,5,1013,0,80
185,6/17/2021,703,386902,255,207409,475,194259,15.0,33640,9.0,34816,44.0,9791,351,167716,51.0,11426,29.0,5326,7,1020,1,81
186,6/18/2021,1045,387947,378,207787,703,194962,21.0,33661,11.0,34827,55.0,9846,561,168277,57.0,11483,30.0,5356,12,1032,0,81
187,6/19/2021,645,388592,155,207942,511,195473,10.0,33671,6.0,34833,51.0,9897,379,168656,54.0,11537,27.0,5383,4,1036,0,81
188,6/20/2021,296,388888,111,208053,193,195666,3.0,33674,2.0,34835,37.0,9934,119,168775,15.0,11552,22.0,5405,5,1041,0,81
189,6/21/2021,522,389410,218,208271,338,196004,5.0,33679,7.0,34842,30.0,9964,252,169027,34.0,11586,22.0,5427,4,1045,0,81
