,date,Hospitalizations/100k (7-day)
228,11/11/20,11.636283
229,11/12/20,11.636283
230,11/13/20,11.913337
231,11/14/20,11.913337
232,11/15/20,14.129772
233,11/16/20,14.406827
234,11/17/20,15.23799
235,11/18/20,17.17737
236,11/19/20,19.116751
237,11/20/20,20.224968
238,11/21/20,21.887294
239,11/22/20,21.887294
240,11/23/20,23.826675
241,11/24/20,23.826675
242,11/25/20,21.333186
243,11/26/20,20.224968
244,11/27/20,20.224968
245,11/28/20,18.562642
246,11/29/20,18.839696
247,11/30/20,18.562642
248,12/1/20,18.839696
249,12/2/20,20.779077
250,12/3/20,21.61024
251,12/4/20,21.056131
252,12/5/20,21.887294
253,12/6/20,19.947914
254,12/7/20,21.056131
255,12/8/20,18.562642
256,12/9/20,19.116751
257,12/10/20,19.947914
258,12/11/20,21.333186
259,12/12/20,20.779077
260,12/13/20,21.333186
261,12/14/20,18.839696
262,12/15/20,19.947914
263,12/16/20,18.285588
264,12/17/20,16.623261
265,12/18/20,15.23799
266,12/19/20,14.683881
267,12/20/20,14.406827
268,12/21/20,13.852718
269,12/22/20,15.515044
270,12/23/20,15.515044
271,12/24/20,14.129772
272,12/25/20,13.298609
273,12/26/20,13.298609
274,12/27/20,13.852718
275,12/28/20,13.852718
276,12/29/20,11.636283
277,12/30/20,11.082174
278,12/31/20,11.359229
279,1/1/21,12.7445
280,1/2/21,12.190392
281,1/3/21,12.7445
282,1/4/21,14.960935
283,1/5/21,14.406827
284,1/6/21,13.575664
285,1/7/21,14.129772
286,1/8/21,13.021555
287,1/9/21,12.7445
288,1/10/21,12.190392
289,1/11/21,9.6969025
290,1/12/21,9.6969025
291,1/13/21,10.251011
292,1/14/21,9.6969025
293,1/15/21,9.6969025
294,1/16/21,10.251011
295,1/17/21,10.251011
296,1/18/21,9.6969025
297,1/19/21,10.528066
298,1/20/21,11.082174
299,1/21/21,11.913337
300,1/22/21,12.467446
301,1/23/21,11.636283
302,1/24/21,11.359229
303,1/25/21,11.082174
304,1/26/21,10.528066
305,1/27/21,9.6969025
306,1/28/21,9.6969025
307,1/29/21,9.4198482
308,1/30/21,10.528066
309,1/31/21,9.6969025
310,2/1/21,9.6969025
311,2/2/21,9.4198482
312,2/3/21,9.1427938
313,2/4/21,7.4804677
314,2/5/21,6.6493046
315,2/6/21,4.9869784
316,2/7/21,5.2640328
317,2/8/21,5.5410872
318,2/9/21,5.2640328
319,2/10/21,5.2640328
320,2/11/21,6.6493046
321,2/12/21,6.926359
322,2/13/21,6.6493046
323,2/14/21,5.8181415
324,2/15/21,5.8181415
325,2/16/21,4.9869784
326,2/17/21,4.7099241
327,2/18/21,4.1558154
328,2/19/21,4.4328697
329,2/20/21,4.7099241
330,2/21/21,4.7099241
331,2/22/21,5.2640328
332,2/23/21,5.2640328
333,2/24/21,4.9869784
334,2/25/21,4.9869784
335,2/26/21,4.4328697
336,2/27/21,4.9869784
337,2/28/21,5.2640328
338,3/1/21,5.2640328
339,3/2/21,6.0951959
340,3/3/21,6.0951959
341,3/4/21,6.6493046
342,3/5/21,6.3722502
343,3/6/21,6.3722502
344,3/7/21,6.3722502
345,3/8/21,5.5410872
346,3/9/21,5.2640328
347,3/10/21,6.0951959
348,3/11/21,4.9869784
349,3/12/21,5.2640328
350,3/13/21,4.7099241
351,3/14/21,4.4328697
352,3/15/21,4.1558154
353,3/16/21,3.878761
354,3/17/21,2.7705436
355,3/18/21,3.0475979
356,3/19/21,3.0475979
357,3/20/21,3.3246523
358,3/21/21,3.878761
359,3/22/21,3.878761
360,3/23/21,3.6017067
361,3/24/21,4.1558154
362,3/25/21,4.7099241
363,3/26/21,4.4328697
364,3/27/21,4.1558154
365,3/28/21,3.6017067
366,3/29/21,4.1558154
367,3/30/21,4.9869784
368,3/31/21,4.7099241
369,4/1/21,4.7099241
370,4/2/21,5.5410872
371,4/3/21,6.0951959
372,4/4/21,6.3722502
373,4/5/21,7.2034133
374,4/6/21,7.2034133
375,4/7/21,8.5886851
376,4/8/21,7.757522
377,4/9/21,8.0345764
378,4/10/21,8.5886851
379,4/11/21,9.6969025
380,4/12/21,9.4198482
381,4/13/21,9.9739569
382,4/14/21,9.6969025
383,4/15/21,10.80512
384,4/16/21,9.9739569
385,4/17/21,9.6969025
386,4/18/21,9.1427938
387,4/19/21,9.1427938
388,4/20/21,9.4198482
389,4/21/21,9.4198482
390,4/22/21,8.5886851
391,4/23/21,8.5886851
392,4/24/21,8.3116307
393,4/25/21,8.3116307
394,4/26/21,8.3116307
395,4/27/21,8.8657395
396,4/28/21,8.0345764
397,4/29/21,8.0345764
398,4/30/21,8.0345764
399,5/1/21,8.0345764
400,5/2/21,8.0345764
401,5/3/21,8.5886851
402,5/4/21,6.3722502
403,5/5/21,7.2034133
404,5/6/21,7.757522
405,5/7/21,7.4804677
406,5/8/21,8.3116307
407,5/9/21,9.1427938
408,5/10/21,8.5886851
409,5/11/21,9.4198482
410,5/12/21,8.8657395
411,5/13/21,8.5886851
412,5/14/21,9.1427938
413,5/15/21,8.3116307
414,5/16/21,6.926359
415,5/17/21,5.8181415
416,5/18/21,5.8181415
417,5/19/21,5.8181415
418,5/20/21,6.6493046
419,5/21/21,6.0951959
420,5/22/21,5.8181415
421,5/23/21,6.0951959
422,5/24/21,6.0951959
423,5/25/21,5.5410872
424,5/26/21,4.9869784
425,5/27/21,4.4328697
426,5/28/21,4.4328697
427,5/29/21,4.7099241
428,5/30/21,4.1558154
429,5/31/21,4.1558154
430,6/1/21,4.4328697
431,6/2/21,4.4328697
432,6/3/21,3.6017067
433,6/4/21,3.0475979
434,6/5/21,2.2164349
435,6/6/21,1.9393805
436,6/7/21,2.4934892
437,6/8/21,1.9393805
438,6/9/21,3.0475979
439,6/10/21,3.0475979
440,6/11/21,3.0475979
441,6/12/21,3.0475979
442,6/13/21,3.3246523
443,6/14/21,4.1558154
444,6/15/21,3.878761
445,6/16/21,2.4934892
446,6/17/21,2.7705436
447,6/18/21,2.7705436
448,6/19/21,3.3246523
449,6/20/21,4.4328697
450,6/21/21,3.0475979
451,6/22/21,3.6017067
452,6/23/21,3.6017067
453,6/24/21,3.0475979
454,6/25/21,3.878761
455,6/26/21,3.3246523
456,6/27/21,1.9393805
457,6/28/21,2.2164349
458,6/29/21,2.2164349
459,6/30/21,2.2164349
460,7/1/21,2.4934892
461,7/2/21,1.9393805
462,7/3/21,3.0475979
463,7/4/21,3.878761
464,7/5/21,3.878761
465,7/6/21,3.3246523
466,7/7/21,3.3246523
467,7/8/21,3.0475979
468,7/9/21,3.3246523
469,7/10/21,2.4934892
470,7/11/21,1.9393805
471,7/13/21,2.2164349
472,7/14/21,2.4934892
473,7/15/21,2.4934892
